wave,buildTime,combatTime,isBoss,enemyType,count,interval,spawnPoint
1,90,90,FALSE,Runner,8,1.5,0
2,90,90,FALSE,Runner,12,1.2,0
2,90,90,FALSE,Spitter,4,2,2
3,90,100,FALSE,Runner,15,1,0
3,90,100,FALSE,Bloater,3,3,1
4,90,100,FALSE,Runner,15,1,0
4,90,100,FALSE,Spitter,6,1.5,2
5,90,100,FALSE,Runner,18,1,0
5,90,100,FALSE,Bloater,4,2.5,1
6,90,110,FALSE,Runner,20,0.8,0
6,90,110,FALSE,Spitter,8,1.5,2
7,90,110,FALSE,Spitter,10,1.2,1
7,90,110,FALSE,Bloater,5,2,2
8,90,120,FALSE,Runner,24,0.7,0
8,90,120,FALSE,Bloater,6,2,1
8,90,120,FALSE,Spitter,10,1.2,2
9,90,120,FALSE,Bloater,8,1.8,1
9,90,120,FALSE,Spitter,12,1,2
9,90,120,FALSE,Runner,25,0.6,0
10,90,180,TRUE,RatKing,1,0,1
